Epoch,Accuracy,Val_Accuracy,Test_Accuracy
1,0.2935,0.6633,0.5567
2,0.6307,0.7704,0.7627
3,0.7895,0.8907,0.8961
4,0.8722,0.9349,0.9080
5,0.9173,0.9189,0.8759
6,0.9608,0.9354,0.8817
7,0.9455,0.9674,0.9152
8,0.9803,0.9837,0.9260
9,0.9874,0.9738,0.9055
10,0.9950,0.9853,0.9170
11,0.9804,0.9803,0.9184
12,0.9870,0.9899,0.8946
13,0.9933,0.9973,0.9213
14,0.9996,0.9989,0.9091
15,0.9993,0.9994,0.9177
16,0.9996,0.9995,0.9203
17,0.9996,0.9994,0.9163
18,0.9998,1.0000,0.9163
19,0.9999,1.0000,0.9181
20,1.0000,1.0000,0.9174
21,1.0000,1.0000,0.9159
22,1.0000,1.0000,0.9156
23,1.0000,1.0000,0.9152
24,1.0000,1.0000,0.9163
25,1.0000,1.0000,0.9156
