Epoch,Accuracy,Val_Accuracy,Test_Accuracy
1,0.2891,0.5672,0.4886
2,0.4609,0.6073,0.5236
3,0.5104,0.7381,0.6051
4,0.6870,0.8282,0.7313
5,0.7857,0.8682,0.7703
6,0.9544,0.8922,0.8327
7,0.8989,0.9338,0.8713
8,0.9832,0.9406,0.8698
9,0.9036,0.9587,0.8893
10,0.9396,0.9857,0.8990
11,0.9815,0.9907,0.8972
12,0.9935,0.9884,0.8979
13,0.9934,0.9920,0.8958
14,0.9971,0.9912,0.8972
15,0.9934,0.9909,0.8990
16,0.9985,0.9907,0.8961
17,0.9989,0.9912,0.8943
18,0.9980,0.9909,0.8904
19,0.9981,0.9905,0.8979
20,0.9985,0.9910,0.8983
21,0.9989,0.9895,0.8979
22,0.9973,0.9874,0.8644
23,0.9965,0.9869,0.8915
24,0.9741,0.9630,0.8781
25,0.9903,0.9883,0.8644
